Station Name,Khapri(KHP),New Airport(NAP),South Airport(APS),Airport(APT),Ujjwal Nagar(UNR),Jaiprakash Nagar(JPN),Chhatrapati Square(CHS),Ajni Square(AJS),Rahate Colony(RHC),Congress Nagar(CON),Sitabuldi Interchange(SIT(N-S)),Zero Mile Freedom Park(ZOM),Kasturchand Park(KCP),GaddiGodam Square(GGC),Kadvi Chowk(KDC),Nari Road(NAR),Automative Square(AMS),Lokmanya Nagar(LMN),Bansi Nagar(BAN),Vasudev Nagar(VAD),Rachina Ring Road(RRR),Subhas Nagar(SBN),Dharampeth College(DRC),Lad Chowk(LAD),Shankar Nagar Square(SNS),Institute of Engineers(IOE),Jhansi Rani Square(JRS),Sitabuldi Interchange(SIT(E-W)),Nagpur Railway Station(NRS),Dosar Vaishya Square(DVS),Agrasen Chowk(ASS),Chitarou Square(COS),Telephone Exchange(TPE),Ambedkar Chowk(AMD),Vaishno Devi Chowk(VDS),Prajapati Nagar(PPN)
Khapri(KHP),5,5,5,5,5,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20
New Airport(NAP),5,5,5,5,5,5,5,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,10,10,10,10,10,10,20,20,20,20,20,20
South Airport(APS),5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,20,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,20,20,20,20
Airport(APT),5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,20,20,20
Ujjwal Nagar(UNR),5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,20,20,20,20,20,10,10,10,10,10,10,5,10,10,10,10,10,10,20,20
Jaiprakash Nagar(JPN),10,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,20,20,20,20,10,10,10,10,10,10,5,5,10,10,10,10,10,10,10,20
Chhatrapati Square(CHS),10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,20,20,20,10,10,10,10,10,5,5,5,10,10,10,10,10,10,10,20
Ajni Square(AJS),10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,20,10,10,10,10,10,10,5,5,5,5,5,5,10,10,10,10,10,10
Rahate Colony(RHC),10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,20,10,10,10,10,10,5,5,5,5,5,5,5,5,10,10,10,10,10
Congress Nagar(CON),10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,10,10,10,10
Sitabuldi Interchange(SIT(N-S)),10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
Zero Mile Freedom Park(ZOM),20,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
